"How, if in any way, this course helped you prepare for school opening after COVID-19?",The independent online work activities were well-designed to help me meet the learning targets.,The Zoom meeting activities were well-designed to help me meet the learning targets.,I felt a sense of community with the other participants in this course even though we were meeting virtually.,This course helped me navigate remote and/or hybrid learning during COVID-19.
today's lesson helped me to see different ways to work,Strongly agree,Strongly agree,Strongly agree,Strongly agree
It was helpful to see how zoom breakout rooms can be utilized along with a self-led PP.,Strongly agree,Strongly agree,Strongly agree,Strongly agree
Students can still be equally accountable for work and participation. Ideas were shared and helpful.,Agree,Agree,Agree,Agree
"The course has really helped me understand what books I should be using to locate the information needed to support the students. I am new to teaching skills block and there is alot of information and since I do not have to books, the course has helped me locate the books online. ",Agree,Strongly agree,Agree,Agree
Helping me think outside the box and find different approaches to reach my students this year.,Strongly agree,Strongly agree,Strongly agree,Strongly agree
Help me dig deeper into lessons.,Strongly agree,Strongly agree,Strongly agree,Strongly agree
Help me dig deeper into lessons.,Strongly agree,Strongly agree,Strongly agree,Strongly agree
NA,Agree,Agree,Agree,Agree
This was no help in preparing .,Strongly agree,Strongly agree,Strongly agree,Strongly agree
This course helped me prepare by showing practices I can use.,Neither agree nor disagree,Agree,Strongly agree,Agree
It made me realize everyone is facing the same challenges and basically doing things the same way in the classroom.,Strongly agree,Strongly agree,Strongly agree,Strongly agree
collaborating with my cohorts,Agree,Agree,Agree,Agree
How to work without being close to each other,Agree,Agree,Agree,Agree
I enjoyed talking with other teachers about how there students are participating in the classroom while following COVID guidelines.,Strongly agree,Strongly agree,Strongly agree,Strongly agree
I feel better about going virtual if needed,Strongly agree,Strongly agree,Strongly agree,Strongly agree
safety,Agree,Agree,Agree,Agree
safety,Agree,Agree,Agree,Agree
This course has helped me get a better understanding of the EL curriculum and how to teach it.,Strongly agree,Strongly agree,Strongly agree,Strongly agree
It has not helped me to prepare for teaching during a pandemic.,Disagree,Neither agree nor disagree,Strongly agree,Disagree
2,Agree,Agree,Agree,Agree
4,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree
I learned how to use nearpod,Agree,Agree,Agree,Agree
I learned how to use nearpod,Agree,Agree,Agree,Agree
Chalk talk is useful since students cannot work in groups.,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree
Just by using Nearpod and demonstrating how it can be used to support student learning using EL curriculum was very beneficial to me since I have to teach using Zoom to share with the other 2nd grade class at my school.,Strongly agree,Strongly agree,Strongly agree,Strongly agree
Collaboration between teachers at different schools really helped learn new ways to modify lessons.,Strongly agree,Strongly agree,Strongly agree,Strongly agree
"I feel that the focus was primarily, though this may be projection, in focusing on my primary concern and spectrum of needs in improving my practice and student learning outcomes while in distance learning.",Agree,Agree,Agree,Agree
NA,Strongly agree,Agree,Agree,Strongly agree
NA,Agree,Agree,Neither agree nor disagree,Disagree
Sharing resources with other educators and learning about how to prioritize the tools in our curriculum,Strongly agree,Strongly agree,Strongly agree,Strongly agree
"The breakout rooms, the sample student, the use of the conversion table was great.",Strongly agree,Strongly agree,Strongly agree,Strongly agree
"Felt burnt out, the timing of the PD was hard",Agree,Agree,Neither agree nor disagree,Disagree
Sharing ideas for engagement,Agree,Strongly agree,Neither agree nor disagree,Agree
NA,Agree,Neither agree nor disagree,Agree,Agree
NA,Agree,Agree,Agree,Agree
presentation in Nearpod which is useful in presenting remotely,Strongly agree,Strongly agree,Strongly agree,Strongly agree
NA,Agree,Agree,Agree,Agree
NA,Neither agree nor disagree,Disagree,Neither agree nor disagree,Neither agree nor disagree
NA,Agree,Neither agree nor disagree,Agree,Agree
Presented useful strategies,Strongly agree,Strongly agree,Strongly agree,Strongly agree
I was able to collaborate with other colleagues.,Strongly agree,Strongly agree,Strongly agree,Strongly agree
N/A,Strongly agree,Strongly agree,Strongly agree,Strongly agree
My online students are Kindergartens and I'll have to try in expose them to other literature.,Agree,Agree,Agree,Agree
"More training on how to plan the small group cycle lessons- take me step by step how to plan given students in x microphase, z cycle (x 4), etc.",Strongly agree,Disagree,Agree,Neither agree nor disagree
NA,Strongly agree,Strongly agree,Strongly agree,Strongly agree
Commiserating with my peers and leaning on one another for ideas and support.,Strongly agree,Strongly agree,Strongly agree,Strongly agree
NA,Strongly agree,Strongly agree,Agree,Strongly agree
NA,Agree,Neither agree nor disagree,Neither agree nor disagree,Agree
NA,Agree,Agree,Neither agree nor disagree,Agree
Problem solving with colleagues and getting suggestions of things I'd never have considered before! So helpful,Strongly agree,Strongly agree,Strongly agree,Strongly agree
Helping with student engagement online/helping with make the slide /questions more meaningful,Strongly agree,Strongly agree,Strongly agree,Strongly agree
NA,Agree,Agree,Agree,Agree
It has helped with my planning and my understanding of protocols and TPTs.,Agree,Agree,Agree,Agree
PLanning virutally for remediation,Agree,Agree,Agree,Strongly agree
Peer feedback helped me gain strategies,Agree,Agree,Agree,Strongly agree
Providing independent work instead of grouping the children. The stations being used were a struggle to manage.,Agree,Agree,Agree,Agree
3,Agree,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree
It was more of in class observation but could be use in online lessons as well.,Strongly agree,Agree,Agree,Agree
I think learning and practicing with the videos kind of recreates a virtual enviroment to a certain degree,Strongly agree,Strongly agree,Strongly agree,Strongly agree
NA,Strongly agree,Strongly agree,Strongly agree,Strongly agree
NA,Strongly agree,Strongly agree,Strongly agree,Strongly agree
It gave me new ideas.,Strongly agree,Strongly agree,Strongly agree,Strongly agree
NA,Strongly agree,Strongly agree,Strongly agree,Strongly agree
NA,Agree,Agree,Agree,Agree
NA,Agree,Strongly agree,Agree,Strongly agree
Preparation with different platforms,Strongly agree,Strongly agree,Strongly agree,Strongly agree
Creating a professional learning community to share problems and concerns with.,Agree,Neither agree nor disagree,Agree,Strongly agree
I learned so much and realized I am not alone in this new normal. Thank you,Agree,Agree,Agree,Strongly agree
NA,Agree,Agree,Neither agree nor disagree,Agree
I have been given lots of strategies to incorporate for virtual learning.,Strongly agree,Strongly agree,Strongly agree,Strongly agree
N/A,Strongly agree,Agree,Agree,Neither agree nor disagree
Collaborating with the other teachers on what is working for them in their virtual classes.,Strongly agree,Strongly agree,Agree,Strongly agree
Preparation,Strongly agree,Strongly agree,Strongly agree,Strongly agree
This course gave me hands-on practice with breakout rooms and maneuvering in the virtual classroom.,Neither agree nor disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly agree
Preparation,Strongly agree,Strongly agree,Strongly agree,Strongly agree
Showed the writing implementation in the guidebook,Strongly agree,Strongly agree,Strongly agree,Strongly agree
Discussing the support tools available for the units and how the sections/lessons build the speaking and writing skills that build to the section diagnostics and culminating writing tasks,Strongly agree,Strongly agree,Strongly agree,Strongly agree
3,Agree,Neither agree nor disagree,Agree,Neither agree nor disagree
"Well, I am trying to get through the Covid monster, but I will definitely be able to use some of this afer everyone is back and things are a bit more equal.",Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Disagree
It is a guide that even my virtual students can still look at and complete,Strongly agree,Strongly agree,Strongly agree,Strongly agree
3,Agree,Agree,Strongly agree,Strongly agree
4,Agree,Agree,Strongly agree,Strongly agree
Showed the writing implementation in the guidebook,Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree
Relevant to my upcoming guidebook!,Strongly agree,Strongly agree,Strongly agree,Strongly agree
This course has allowed me to identify what skills are most important in helping my kids become successful with the culminating writing task. It has also allowed me to identify what skills I need to focus on for my 9th grade students who will be taking the LEAP 2025 this spring.,Agree,Agree,Agree,Agree
Helped to prepare by learning information about how to incorporate small groups during COVID-19.,Strongly agree,Strongly agree,Strongly agree,Strongly agree
Discussing the support tools available for the units and how the sections/lessons build the speaking and writing skills that build to the section diagnostics and culminating writing tasks,Strongly agree,Strongly agree,Strongly agree,Strongly agree
It is a guide that even my virtual students can still look at and complete,Agree,Agree,Strongly agree,Strongly agree
This course has not really helped me as an inclusion teacher in English class. ,Disagree,Neither agree nor disagree,Disagree,Disagree
4,Neither agree nor disagree,Strongly agree,Neither agree nor disagree,Agree
5,Agree,Agree,Agree,Agree
Did not,Neither agree nor disagree,Neither agree nor disagree,Strongly agree,Strongly disagree
4,Neither agree nor disagree,Disagree,Neither agree nor disagree,Disagree
"Well, I am trying to get through the Covid monster, but I will definitely be able to use some of this afer everyone is back and things are a bit more equal.",Strongly agree,Strongly agree,Strongly agree,Neither agree nor disagree
It's validated my concerns and current issues.,Neither agree nor disagree,Agree,Strongly agree,Agree
Brainstorming how to maximize opportunities for discourse in the context of little-to-no student-student discussion.,Disagree,Neither agree nor disagree,Neither agree nor disagree,Strongly disagree
Watching how the facilitators navigated these learning targets was a great way for me to see someone being successful in an online teaching environment.,Neither agree nor disagree,Agree,Strongly agree,Disagree
Ideas for learning tools and alternate student-response platforms,Agree,Agree,Strongly agree,Neither agree nor disagree
4,Neither agree nor disagree,Disagree,Neither agree nor disagree,Disagree
Strategies for PD via remote learning were modeled.,Agree,Agree,Strongly agree,Agree
This course has given me valuable insight into the role of a learner as I provide remote and hybrid PL opportunities for teachers as an educational consultant.,Strongly agree,Strongly agree,Strongly agree,Strongly agree
