date_for_the_session,professional_training_session,select_your_site_district_parish_or_network,select_the_best_description_for_your_role,select_the_grade_band_s_you_focused_on,learning_session_satisfaction,todays_topic_was_relevant_for_my_role,designed_to_help_me_learn,learning_to_try_out,likely_to_apply_46_weeks,select_the_name_of_your_first_facilitator,s_he_facilitated_the_content_clearly_12,s_he_effectively_built_a_community_of_learners_13,did_you_have_a_second_facilitator,select_the_name_of_your_second_facilitator,s_he_facilitated_the_content_clearly_16,s_he_effectively_built_a_community_of_learners_17,overall_what_went_well_in_this_professional_learning,which_activities_best_supported_your_learning,what_could_have_improved_your_experience,likely_to_recommend_colleague_friend,why_did_you_choose_this_rating,do_you_have_additional_comments
2020-02-27,Guidebooks CM-6,Lafayette Parish,Teacher or specialist,"Grades K-2, Grades 3-5",Strongly agree,Strongly agree,Strongly agree,Templates for writing,Strongly agree,Leigh,Strongly agree,Strongly agree,No,NA,NA,NA,Connection with reading and writing,Writing act,Good job,10,Knowledgeable about writing,No
2020-02-27,Guidebooks CM-6,Lafayette Parish,Teacher or specialist,Grades 3-5,Strongly agree,Strongly agree,Agree,Mini lessons,Agree,Leigh,Strongly agree,Strongly agree,No,NA,NA,NA,Actually looking at student writing,Breaking down the rubric,Nothing,8,Useful information,NA
2020-02-27,Guidebooks CM-6,Lafayette Parish,Teacher or specialist,Grades 3-5,Strongly agree,Agree,Strongly agree,Using exemplars!,Strongly agree,Leigh,Strongly agree,Strongly agree,No,NA,NA,NA,Examining what I need to teach,Templates,N/A,10,I’m satisfied,No
2020-02-27,Guidebooks CM-6,Lafayette Parish,Teacher or specialist,Grades 3-5,Strongly agree,Strongly agree,Strongly agree,"Using the rubric not only for grading but as a way to look for writing trends. We learned to put student initials on a rubric of where they fell for each indicator and once the set is analyzed, it creates a visual for locating strengths and weaknesses. While this is the same concept I attempted before when analyzing writing, I now have a clear method that will tailor instruction and benefit students and this in turn, improve student writing.",Strongly agree,Leigh,Strongly agree,Strongly agree,No,NA,NA,NA,The explanation of the rubric! I now have a much clearer understanding of each indicator.,Small group lessons and how to implement them.,Nothing.,10,I’ve learned a ton at each session. Any more and my brain might explode.,Thanks so much for all the help.
2020-02-27,Guidebooks CM-6,Lafayette Parish,Teacher or specialist,Grades 3-5,Strongly agree,Strongly agree,Strongly agree,Small group interactive and shared writing,Strongly agree,Leigh,Strongly agree,Strongly agree,No,NA,NA,NA,Everything - Leigh is a great facilitator.  She presents material in a non-threatening and easy to follow way.,I like getting time to apply the new skills to student examples,More videos,5,It depends on if my friends are in a district that uses Guidebooks,"Great job, Leigh!"
2020-02-27,Guidebooks CM-6,Lafayette Parish,Teacher or specialist,Grades 3-5,Strongly agree,Strongly agree,Strongly agree,Mini lessons,Strongly agree,Leigh,Strongly agree,Strongly agree,No,NA,NA,NA,She gave a lot of great ideas to differentiate helping my students.,Mini lessons.  Shared writing.  Rubric def sheet.,N/A,10,I enjoyed what I learned today and Leigh was very patient.,Thank you!!!
2020-02-27,Guidebooks CM-6,Lafayette Parish,Teacher or specialist,Grades 3-5,Strongly agree,Strongly agree,Strongly agree,A better understanding of the LEAP rubrics,Strongly agree,Leigh,Strongly agree,Strongly agree,No,NA,NA,NA,A lot of valuable conversations  with other teachers,All of them,more time to look at the curriculum that I teach,5,It provides a clearer understanding of the parts of Guidebooks but I do feel like it is a bit excessive,N/A
2020-02-27,Guidebooks CM-6,Lafayette Parish,Teacher or specialist,Grades 3-5,Agree,Agree,Agree,Write Along videos,Agree,Leigh,Strongly agree,Strongly agree,No,NA,NA,NA,Discussions,Working with others,Being able to plan with colleagues on upcoming lessons in the other subjects I teach like all others in the parish that aren't teaching Guidebooks!!!,8,I would have preferred to have been able to plan with others instead of sitting at an all day inservice.,NA
2020-02-27,Guidebooks CM-6,Lafayette Parish,Teacher or specialist,Grades 3-5,Strongly agree,Strongly agree,Strongly agree,Providing Small group intervention to students with common issues,Strongly agree,Lindsey,Strongly agree,Strongly agree,No,NA,NA,NA,Centered on student support,Promethium Board benefit,Having proper materials!,10,Overall Excellent,Awesome class!
2020-02-27,Guidebooks CM-6,Lafayette Parish,Teacher or specialist,Grades 3-5,Agree,Strongly agree,Agree,Grammar mini-lesson,Strongly agree,Lindsey,Strongly agree,Strongly agree,No,NA,NA,NA,"Lindsey is well-informed, patient, and helpful.",Mini-lessons,5th grade material,10,She's awesome!,NA
2020-02-27,Guidebooks CM-6,Lafayette Parish,Teacher or specialist,Grades 3-5,Strongly agree,Strongly agree,Strongly agree,Using the rubric breakdown and lesson plan breakdown for small group writing,Strongly agree,Lindsey,Strongly agree,Strongly agree,No,NA,NA,NA,"Pretty much all - discussions, practice and so on",Small group writing lesson strategies,None,10,Lindsay is one of the best facilitators. Thanks.,No
2020-02-27,Guidebooks CM-6,Lafayette Parish,Teacher or specialist,Grades 3-5,Strongly agree,Strongly agree,Strongly agree,Small learning lessons to assist my students,Strongly agree,Lindsey,Strongly agree,Strongly agree,No,NA,NA,NA,Detailed discussion of rubric,Diving into student examples to examine,All was goid,10,Very informative,All went well
2020-02-27,Guidebooks CM-6,Lafayette Parish,Teacher or specialist,Grades 3-5,Strongly agree,Strongly agree,Strongly agree,Grading writing with uniformity. Teaching the students to understand the rubrics.,Strongly agree,Lindsey,Strongly agree,Strongly agree,No,NA,NA,NA,Learning about the writing rubric,writing,nothing,10,great,no
2020-02-27,Guidebooks CM-6,Lafayette Parish,Teacher or specialist,Grades 3-5,Strongly agree,Strongly agree,Strongly agree,Grammar mini lessons,Agree,Lindsey,Strongly agree,Strongly agree,No,NA,NA,NA,All of it,Discussions,Nothing,10,Recieved a lot of good info,NA
2020-02-27,Guidebooks CM-6,Lafayette Parish,Teacher or specialist,Grades 3-5,Strongly agree,Strongly agree,Strongly agree,the rubric handout with the look-for's was very helpful,Strongly agree,Lindsey,Strongly agree,Strongly agree,No,NA,NA,NA,working together and networking and the ability to discuss differences in writing and how to help those in the best way possible,loved the review of my own students material,nothing,10,amazing day,none
2020-02-27,Guidebooks CM-6,Lafayette Parish,Teacher or specialist,Grades 3-5,Strongly agree,Strongly agree,Strongly agree,I like the jist model from the video that we watched with modeling how to write a summary.,Agree,Lindsey,Strongly agree,Strongly agree,No,NA,NA,NA,Talking with my peers,Collaborating,Nothing,10,Because it was extremely helpful in most aspects,No
2020-02-27,Guidebooks CM-6,Lafayette Parish,Teacher or specialist,Grades 3-5,Strongly agree,Strongly agree,Strongly agree,Write along video,Strongly agree,Lindsey,Strongly agree,Strongly agree,No,NA,NA,NA,Targeting instruction,Sharing,Nothing,10,It helps understand guidebooks philosophy.,NA
2020-02-27,Guidebooks CM-6,Lafayette Parish,Teacher or specialist,Grades 3-5,Agree,Neither agree nor disagree,Neither agree nor disagree,A new way to show the students the rubric.,Neither agree nor disagree,Lindsey,Strongly agree,Strongly agree,No,NA,NA,NA,Table talk.,Planning,Working on 5th grade material.,9,It was a good way of why we use GB,NA
2020-02-27,Guidebooks CM-6,Lafayette Parish,Teacher or specialist,Grades 3-5,Strongly agree,Strongly agree,Strongly agree,Teacher mini-lessons,Strongly agree,Lindsey,Strongly agree,Strongly agree,No,NA,NA,NA,Rubric training,Rubric mini-lesson,N/a,10,Today's class was very informative.,Best class of all six sections.
2020-02-27,Guidebooks CM-6,Lafayette Parish,Teacher or specialist,Grades 3-5,Strongly agree,Strongly agree,Strongly agree,Diverse learning,Strongly agree,Lindsey,Strongly agree,Strongly agree,No,NA,NA,NA,Discussion,Analyzing students work,If i brought the Guidebook binder,10,It is very helpful,NA
2020-02-27,Guidebooks CM-6,Lafayette Parish,Teacher or specialist,Grades 3-5,Agree,Agree,Agree,Writing small group,Agree,Lindsey,Agree,Agree,No,NA,NA,NA,Answering explicit questions,Examples,None,7,I’m unable to recommend anything in my current role as a teacher.,NA
2020-02-27,Guidebooks CM-6,Lafayette Parish,Teacher or specialist,Grades 3-5,Strongly agree,Agree,Agree,Rubrics,Agree,Lindsey,Agree,Strongly agree,No,NA,NA,NA,Feedback of writing,Discussion,Ok,8,We’ll delivered instruction.,No
2020-05-22,Guidebooks CM-6,Calcasieu Parish,Teacher or specialist,Grades 6-8,Strongly agree,Strongly agree,Strongly agree,Exemplar use with students,Strongly agree,Meredith,Strongly agree,Strongly agree,No,NA,NA,NA,Communication and ideas from fellow teachers,Organizational frames,Nothing,10,Based on the ease and flow of presentation by presenter,No
2020-05-22,Guidebooks CM-6,Calcasieu Parish,Teacher or specialist,Grades 6-8,Strongly agree,Strongly agree,Strongly agree,Exemplar use with students,Strongly agree,Meredith,Strongly agree,Strongly agree,No,NA,NA,NA,Communication and ideas from fellow teachers,Organizational frames,Nothing,10,Based on the ease and flow of presentation by presenter,No
2020-05-22,Guidebooks CM-6,Calcasieu Parish,Teacher or specialist,Grades 9-12,Strongly agree,Strongly agree,Strongly agree,Breaking apart trends from students’ writing,Neither agree nor disagree,Meredith,Strongly agree,Strongly agree,No,NA,NA,NA,Everything,Module 6,Nothing,10,Because it is extremely helpful,NA
2020-05-22,Guidebooks CM-6,Calcasieu Parish,Teacher or specialist,Grades 6-8,Strongly agree,Strongly agree,Strongly agree,Definition page,Strongly agree,Meredith,Strongly agree,Strongly agree,No,NA,NA,NA,Break out sessions were great.,Break out sessions,It was great overall,10,This information/training will improve our students’ LEAP scores.,NA
2020-05-22,Guidebooks CM-6,Calcasieu Parish,Teacher or specialist,Grades 9-12,Strongly agree,Strongly agree,Strongly agree,"Modeling, Shared and Interactive Writing, Mentor Text, Organizational Frames",Strongly agree,Meredith,Strongly agree,Strongly agree,No,NA,NA,NA,Timely and respectful of current situation,Given time to take notes,Not a thing,10,It is specific to what's happening in classrooms right now.,NA
2020-05-22,Guidebooks CM-6,Calcasieu Parish,Teacher or specialist,Grades 6-8,Strongly agree,Strongly agree,Strongly agree,Using the scoring rubric to identify their specific needs.,Strongly disagree,Meredith,Agree,Agree,No,NA,NA,NA,Lots of great collaboration with teachers from all backgrounds an grade levels.,Group work.,I cannot think of anything.,8,"It's not for everyone, but extremely beneficial to me.",Not at this time.
2020-05-22,Guidebooks CM-6,Calcasieu Parish,Teacher or specialist,All grades K-12,Neither agree nor disagree,Agree,Neither agree nor disagree,Mentoring,Agree,Meredith,Agree,Agree,No,NA,NA,NA,Zoom,Whole group,Nothing,8,Great for new teachers,No
2020-05-22,Guidebooks CM-6,Calcasieu Parish,Teacher or specialist,Grades 9-12,Strongly agree,Strongly agree,Strongly agree,"Shared and interactive writing, as well as modeling.",Strongly agree,Meredith,Strongly agree,Strongly agree,No,NA,NA,NA,The technology worked.,Break out session and chat participation.,Still having a class of students to work with now. Lol,10,"It can be a helpful process, especially for new or struggling teachers.",NA
2020-05-22,Guidebooks CM-6,Calcasieu Parish,Teacher or specialist,Grades 6-8,Strongly agree,Strongly agree,Strongly agree,Using the definition sheet,Strongly agree,Meredith,Strongly agree,Strongly agree,No,NA,NA,NA,Us being able to ask questions,I liked the hands on,Nothing,10,Meredith ROCKS!,NA
2020-05-22,Guidebooks CM-6,Calcasieu Parish,School-based coach,Grades 6-8,Strongly agree,Strongly agree,Strongly agree,Placing the initials on the rubric to help identify strengths/weaknesses within a class,Strongly disagree,Meredith,Strongly agree,Strongly agree,No,NA,NA,NA,Breakout rooms,Teacher responses in group chat,It not being the last day of school with so many interruptions on campus,10,Facilitator was helpful,NA
2020-05-22,Guidebooks CM-6,Calcasieu Parish,Teacher or specialist,Grades 6-8,Strongly agree,Strongly agree,Strongly agree,Definition sheet,Strongly agree,Meredith,Strongly agree,Strongly agree,No,NA,NA,NA,"Pacing, today I enjoyed break out rooms",Looking at the strategies,All was good today!,10,All information presented today is totally “doable”,Enjoyed the training!
2020-05-22,Guidebooks CM-6,Calcasieu Parish,Teacher or specialist,Grades 6-8,Agree,Strongly agree,Strongly agree,Using student samples to improve student writing,Strongly disagree,Meredith,Strongly agree,Strongly agree,No,NA,NA,NA,Made it as good as it can be with the circumstances,Breakout rooms,Length,7,Length,NA
2020-05-22,Guidebooks CM-6,Calcasieu Parish,Teacher or specialist,Grades 6-8,Strongly agree,Strongly agree,Strongly agree,Exemplar use with students,Strongly agree,Meredith,Strongly agree,Strongly agree,No,NA,NA,NA,Communication and ideas from fellow teachers,Organizational frames,Nothing,10,Based on the ease and flow of presentation by presenter,No
2020-05-22,Guidebooks CM-6,Calcasieu Parish,Teacher or specialist,"Grades 6-8, Grades 9-12",Strongly agree,Strongly agree,Strongly agree,Shared and interactive writing,Strongly agree,Meredith,Strongly agree,Strongly agree,No,NA,NA,NA,I really liked collaborating with the other teachers and discussing how this could work in the classroom.,All of them were great.,Nothing- really liked the brain breaks.,10,"It has helped me understand Learnzillion, which can be quote overwhelming.",Thanks for working with us! It's been great!
2020-05-22,Guidebooks CM-6,Calcasieu Parish,Teacher or specialist,Grades 6-8,Strongly agree,Strongly agree,Strongly agree,Using the definition sheet helps to understand the rubric,Neither agree nor disagree,Meredith,Strongly agree,Strongly agree,No,NA,NA,NA,Using the guidebook tools correctly,breaking down the rubric,nothing,10,great information,NA
2020-05-22,Guidebooks CM-6,Calcasieu Parish,Teacher or specialist,Grades 6-8,Agree,Agree,Agree,Strategies for remediation,Agree,Meredith,Agree,Agree,No,NA,NA,NA,Breakout session,Strategies for remediation,Less interruptions from school closure procedures,7,Good application of strategies,NA
2020-05-22,Guidebooks CM-6,Calcasieu Parish,Teacher or specialist,Grades 6-8,Strongly agree,Strongly agree,Strongly agree,Definition page,Strongly agree,Meredith,Strongly agree,Strongly agree,No,NA,NA,NA,Break out sessions were great.,Break out sessions,It was great overall,10,This information/training will improve our students’ LEAP scores.,NA
2020-05-22,Guidebooks CM-6,Calcasieu Parish,Teacher or specialist,Grades 9-12,Strongly agree,Strongly agree,Strongly agree,Writing supports,Strongly disagree,Meredith,Strongly agree,Strongly agree,No,NA,NA,NA,Collaboration,Modeling,Nothing,10,It was great,NA
2020-05-22,Guidebooks CM-6,Calcasieu Parish,Teacher or specialist,Grades 6-8,Strongly agree,Agree,Strongly agree,The rubric,Agree,Meredith,Strongly agree,Strongly agree,No,NA,NA,NA,Best two so far,Break out sessions,N/a,5,n/a,n/a
2020-05-22,Guidebooks CM-6,Calcasieu Parish,Teacher or specialist,Grades 9-12,Strongly agree,Strongly agree,Strongly agree,Breaking apart trends from students’ writing,Neither agree nor disagree,Meredith,Strongly agree,Strongly agree,No,NA,NA,NA,Everything,Module 6,Nothing,10,Because it is extremely helpful,NA
2020-05-22,Guidebooks CM-6,Calcasieu Parish,Teacher or specialist,Grades 6-8,Strongly agree,Strongly agree,Strongly agree,Definition Rubric,Strongly agree,Meredith,Strongly agree,Strongly agree,No,NA,NA,NA,Collaboration,All activities,It was great!,10,It was great!,NA
2020-02-27,Guidebooks CM-6,Lafayette Parish,Teacher or specialist,Grades 3-5,Strongly agree,Strongly agree,Strongly agree,The rubric activity,Strongly agree,Meredith,Strongly agree,Strongly agree,No,NA,NA,NA,Meredith led the group so well. She kept it interesting and connected the training to teaching Guidebooks in her own classroom.,The formative rubric activity.,Nothing-great day,10,Great activities.,NA
